gene	SZ
MTRNR2L8	88.6959193610753
MTRNR2L12	73.7791365028544
EEF1A1	63.8096740308495
AC009501.1	58.2979499279596
LINC01641	46.0780224206837
RACK1	42.2596441863293
EIF1	39.3567390485894
IGHA1	37.2437811929791
MT2A	36.5112289447542
PFN1	36.009685595024
MTRNR2L1	35.5595179524296
NACA	35.3060517857152
BTF3	34.3655424014014
HLA-DRB5	33.6138788608709
YBX1	33.0494989078214
EIF3L	33.0351408609391
FTH1	32.813997657522
EEF2	30.8743113379489
NBEAL1	30.2895864852967
ARHGDIB	29.9411948009379
EEF1B2	29.0538121729527
CXCL14	28.6912591609463
AL035078.1	28.5848673164158
TPT1	26.4495448626027
HSPA8	26.3341012412262
GREM1	26.2085891419829
FAU	25.8622841845209
MYC	25.7349469999619
ERAP2	24.2851691054936
UBA52	24.1211891480477
EIF3F	24.0413639993247
LDHB	23.2537369127936
PABPC1	23.1160620471961
GTF3A	22.3330750884035
COMMD6	21.8968339319293
MT1E	21.6724936782537
GIMAP7	21.5035643452896
MYOM2	21.0907806844674
GAPDH	21.0478675303613
JCHAIN	20.6397302539873
UQCRB	20.633226757129
DYNLT1	20.5086466398054
S100B	20.3016084367102
UQCRFS1	19.8852838249464
EIF3H	19.4167668565547
ZNF90	19.3363644712572
MTRNR2L3	19.2520605395199
C12orf54	19.2419565981452
GYPC	19.2116348792148
EEF1D	19.1971971626574
ATP5MG	19.1705212472106
SULF2	17.9788987182881
B4GALT1	17.7943714180128
MED10	17.3888072849619
CCZ1B	17.3598861047192
PPA1	17.3146212445146
ATXN8OS	17.066985971985
PCBP1	17.0045360206205
KCNJ3	16.8954664380955
TAGLN2	16.8070533055871
RNF145	16.7467701638118
CACNA1A	16.6243297859067
C1orf56	16.5822762954542
MPV17L	16.4901056561975
ARPC2	16.3763023241088
SUB1	16.0923603958101
LAIR2	16.0447253857844
POMP	16.0354450096401
TSHR	16.0208112459381
LMNA	16.0030825701652
UBE2D3	15.9837603928013
UQCRH	15.682818942169
MT1X	15.3014530225419
PASK	15.2627119425786
UTS2	15.2512753986046
C8orf59	15.2301770869472
TPSB2	15.2203855978334
NFAM1	15.2191873619681
TMEM176B	15.2109064769072
ARID5A	15.1928603486625
TPPP3	15.1928392099293
PFDN5	15.13929095336
CORO1B	15.0540688756862
COX4I1	14.9844339707889
IGKC	14.9747558308733
PBX1	14.9327098702557
TMEM176A	14.9237449886973
KLRB1	14.8285064341815
RAN	14.7537329657512
AC127070.2	14.6974856759722
STAG3	14.6639269628146
AES	14.6562457156576
AL157938.2	14.5724078545678
SNRPG	14.5702869606803
ARRB2	14.3748097392826
RWDD1	14.3584999054351
HBB	14.2719936056906
HINT1	14.0474637937391
LSP1	14.0427399257408
RAMMET	14.0339582381925
TMA7	13.936534204016
OSER1	13.8159130762486
GLRA3	13.6384473982701
AIF1	13.5447152818135
ZNF714	13.5029309076685
YBX3	13.4077336386289
FBLN5	13.3441118175624
ILF2	13.2967144138352
CHCHD2	13.2467292088589
FAM215B	13.1442678373975
CENPK	13.1217146498723
CALM3	13.1038593383045
RNF7	13.0623573230689
AC138904.3	12.9715842506603
PCBP2	12.9542369449491
DNAJB6	12.9300756351167
COX7A2	12.7591690302492
QARS	12.7519585138359
RNASEH2B	12.7451039289058
IMP3	12.709342320756
TMEM156	12.6630342843656
DOCK7	12.5764761246497
ATP5F1A	12.5735538190515
NFKBIA	12.4884945008326
HECTD1	12.4852497791293
ARNTL2	12.4831102749285
LRRC69	12.3586881715582
SNRPE	12.2981736303713
IGLC2	12.2243729169629
HIGD2A	12.2194819495203
PPIG	12.1709171685827
PSMC1	12.1250293039937
ISCA1	12.0860117651454
ATF7IP2	12.085924600709
SRGN	12.0781532677847
NCBP2-AS2	12.0752697472751
SYF2	12.0713451434753
S1PR3	12.061727014076
BLK	12.0407885027157
HLA-DQB2	12.0371019995127
PABPC3	12.0343555401135
STRAP	12.0190905816647
GZMB	11.9991909542971
COX7C	11.9947497722914
ATP5MGL	11.9779424425934
BCL2L15	11.9614477014298
NOP10	11.9554359269077
NDUFA4	11.9452753495664
PTGIR	11.8343141687336
PNISR	11.7179429711856
OCIAD2	11.7009270054054
MZT2A	11.690874444739
CYP27A1	11.6895885429545
NECAP2	11.6231795371617
C1QA	11.6184230612616
CD7	11.5930924653475
UQCRHL	11.5773783429541
WHAMM	11.5699608145704
AC095055.1	11.5345222775006
COX5A	11.5073967343284
HBG2	11.3727303706124
UBE2L3	11.3716638097155
PLIN2	11.3693415343202
SARAF	11.3353679316753
PSMB1	11.3136487929352
CACYBP	11.275407150851
C16orf54	11.2574530340243
GTF2B	11.2223600239449
ATP5PO	11.1786032730133
CCR7	11.1430710200157
SF3B6	11.1278554981155
HERPUD1	11.1143281563647
LITAF	11.0874283015193
SAP18	11.0685692635155
KRT1	11.0623555317197
UBE2I	11.0531932075153
RHBDD2	11.0136326797925
EAPP	10.9629032778137
GNLY	10.9585824185725
RNASET2	10.916824413278
TTLL7	10.9147032689017
ANXA1	10.9098443724181
CCDC12	10.9048607338747
SLC25A3	10.8727583658002
BCL7B	10.8414013052775
CIR1	10.8325492776096
YBEY	10.8254045635958
DNAJC2	10.8192989594463
MPC2	10.7918444628921
GMFB	10.7831650997265
CLEC10A	10.779455138355
C14orf119	10.7772280488766
RHOG	10.761423233932
NDUFC1	10.7578447939595
MAP3K8	10.7478823161154
DDX11	10.7397977019489
ERGIC3	10.7255334651956
ABT1	10.7007121744373
PTGER2	10.6928052172713
C5AR2	10.6817675522199
SMAGP	10.6673872206157
TMEM11	10.594608419611
COTL1	10.5859864794397
SUPT4H1	10.5294846575648
PDK4	10.5275586885829
OXA1L	10.5169692885978
SSR2	10.5145926703817
PFDN4	10.4813738620642
BRI3	10.4433319946026
BIN1	10.4195584552623
ASPA	10.4069423971571
CCDC58	10.3920413039343
MGAT4A	10.3372948414973
NME4	10.2987119027957
EIF3E	10.2875185416121
ATP5MD	10.2765001837898
C6orf48	10.1931779782947
ISG15	10.1867412493382
SLC19A3	10.1846875930597
EIF3D	10.1820922534078
JTB	10.1777948700223
NDUFS5	10.1605334635264
AP006623.1	10.1355170145494
DCTN6	10.128184549877
PIK3R3	10.1264329102703
ZNF557	10.1228240289367
ADA	10.082624886224
CASP4	10.0604793063451
CAMLG	10.0566769267191
