position	coverage	clip_count	SA
16569	356713	351229	22799
10381	530559	308951	26243
15407	553393	285048	12758
1	275936	234824	11344
296	472799	65825	0
3571	444573	64710	0
3564	554792	39276	0
299	402553	36165	0
3108	867778	34231	0
10934	154480	27134	0
309	323566	26672	0
301	336238	26020	0
300	359063	23970	0
3563	594319	19054	0
438	891964	17565	0
573	630934	16808	0
311	330358	15703	3
9529	797396	15260	0
303	316608	14823	0
13753	161202	14237	0
9559	998331	13304	0
9154	1155205	11857	0
537	696261	11755	0
9544	931878	11566	0
3216	1138181	11137	0
7782	1142459	10900	0
9530	778447	10728	0
922	1035132	10661	0
9086	879022	10624	0
3270	1353787	10539	0
2521	1153214	9941	0
855	841741	9840	0
7842	1128001	9818	0
6109	947604	9693	0
9456	1264820	9611	0
9523	977390	9463	0
1439	950485	9361	0
15754	1068106	9335	0
15476	984564	9160	0
15409	699286	9123	69
7640	987512	9116	0
9605	1053762	9108	0
10252	787463	8993	0
15905	899325	8870	0
7713	979839	8728	0
498	636427	8687	0
8145	930729	8587	0
7700	1045974	8575	0
3285	997900	8508	0
15837	825809	8395	0
8118	1177400	8379	0
4599	1039439	8374	0
3565	502623	8373	0
9655	1017497	8372	0
431	893802	8365	0
9537	857481	8325	1
5088	483666	8295	0
9513	1130903	8192	0
563	667706	8185	0
6523	1104749	8090	0
9538	892201	8022	0
15595	985191	7935	0
2231	1055787	7920	0
9788	1258083	7867	0
7396	596528	7823	0
971	924763	7691	0
7808	1145821	7661	0
6178	1094172	7599	0
10100	810544	7576	0
7774	1056776	7571	0
544	675421	7515	0
8012	1118454	7487	0
15468	936441	7442	0
5203	943618	7409	0
15687	1015230	7338	0
3431	845572	7335	0
584	716650	7316	0
5157	1190078	7269	4
5591	1073832	7213	0
3370	1046610	7203	0
9515	1114518	7177	0
15412	818270	7162	13
5135	1011725	7090	0
560	654148	7072	0
835	785410	7068	0
15574	1101581	7040	0
4099	1131735	6999	1
3203	803630	6980	2
666	897822	6961	0
3441	998197	6960	0
766	1098691	6872	0
473	769929	6863	0
9454	1136409	6815	1
9566	1015308	6798	0
576	650521	6770	0
8635	945481	6740	0
9445	969117	6701	0
502	624154	6683	4
7944	1074098	6678	0
4836	1126902	6635	0
599	810690	6565	0
3303	921394	6562	0
8270	790920	6561	0
2453	1077765	6484	0
15535	1039818	6477	0
9094	928818	6352	0
302	309424	6302	0
7904	1131335	6254	0
6591	1266460	6247	0
