gene	cor	rank	what
LEF1	0.196793804680829	1	observed
SERINC5	0.192453991561269	2	observed
PTPRN2	0.18813774500109	3	observed
FOXP1	0.167886682430523	4	observed
ACTN1	0.152780514605406	5	observed
TSHZ2	0.1512901536248	6	observed
NELL2	0.150751008358171	7	observed
KLF7	0.150373543905472	8	observed
IMMP2L	0.140174357535243	9	observed
PLCL1	0.135961321953001	10	observed
PCSK5	0.135918291582293	11	observed
DSC1	0.135491034310101	12	observed
PARD3B	0.131422897360651	13	observed
FAM117B	0.130661071024139	14	observed
PRKCA	0.128087158043113	15	observed
ANKRD55	0.119639623029762	16	observed
TGFBR2	0.116729332080964	17	observed
PTPRO	0.11626684869329	18	observed
GRM5	0.116219210741087	19	observed
MAN1C1	0.114879908165625	20	observed
TRABD2A	0.114222644810368	21	observed
FHIT	0.11170821837901	22	observed
RNF157	0.111192602373394	23	observed
ST6GALNAC3	0.110178283510395	24	observed
BACH2	0.109595719148996	25	observed
CHRM3	0.109337038833768	26	observed
MAML2	0.108675833843842	27	observed
ATP10A	0.10763450203706	28	observed
SULT1B1	0.107218397444581	29	observed
LDLRAD4	0.106526834608829	30	observed
APBA2	0.104927291080877	31	observed
MLLT3	0.104229751572618	32	observed
CRTC3	0.10333067178751	33	observed
GRIN3A	0.100553331905893	34	observed
ADTRP	0.0996355109426951	35	observed
SEMA3A	0.0989717205600247	36	observed
LRRN3	0.0977148397212614	37	observed
LDHB	0.0974586810672447	38	observed
TIAM1	0.0972316714135273	39	observed
ITGA6	0.0963811476206882	40	observed
CKS1B	0.0963369191890129	41	observed
SLC16A10	0.0959782313691045	42	observed
TTC9	0.0953529876361223	43	observed
LMO7	0.0927734257828587	44	observed
KRT73	0.0920315169096586	45	observed
IGSF11	0.0895023662008747	46	observed
HIVEP2	0.089462974686955	47	observed
FRMD4A	0.0885072909615219	48	observed
SLC22A23	0.0882131941166227	49	observed
ISM1	0.0870575280528618	50	observed
FBLN7	0.0870255345936835	51	observed
CD6	0.0868100498955991	52	observed
YPEL2	0.086412595840612	53	observed
GCSAM	0.0862681632271941	54	observed
ITK	0.085860219864997	55	observed
C12orf79	0.0857455011737687	56	observed
C1orf159	0.0856980134140342	57	observed
SH3BGRL2	0.0847764296109027	58	observed
PDE4DIP	0.0847288956122388	59	observed
PRG4	0.0841400498791597	60	observed
CNKSR2	0.0835521428809023	61	observed
SPECC1	0.0834865083208517	62	observed
CTC-490E21.12	0.083362225533533	63	observed
ZNF471	0.0833569343058095	64	observed
AFAP1	0.0830015369202187	65	observed
AGBL3	0.082964596768112	66	observed
KLHL2	0.0826622831156595	67	observed
AK5	0.0825603292803442	68	observed
CA6	0.0823089126540368	69	observed
TMEM45B	0.0821377161506134	70	observed
SNTG2	0.0820904203421344	71	observed
SAE1	0.0818168737199288	72	observed
HUNK	0.0815038117626685	73	observed
GPR126	0.0811588336086331	74	observed
EDAR	0.0809078481645327	75	observed
CMTM8	0.0808840625140306	76	observed
FAM102A	0.0805770830607736	77	observed
FAM178B	0.0796077222773839	78	observed
EEFSEC	0.0794818514872392	79	observed
NEGR1	0.0790667706148015	80	observed
ZC3H3	0.0790500427692033	81	observed
PQLC1	0.0788104169826155	82	observed
WDR64	0.0787996657930786	83	observed
HIVEP1	0.0786967090345053	84	observed
WNT7A	0.0786518091905334	85	observed
TLK1	0.0785788009792282	86	observed
MTUS1	0.0784520268531328	87	observed
CSGALNACT1	0.0779453222859359	88	observed
SAMHD1	0.0775913357971977	89	observed
FAM134B	0.0772389103952707	90	observed
IL36G	0.0770917827003374	91	observed
TBC1D4	0.0770325639410133	92	observed
SLC7A8	0.0764590392737514	93	observed
HBS1L	0.0748692919804475	94	observed
IL6R	0.0746788115956909	95	observed
PAQR8	0.074252414958054	96	observed
HECW2	0.0736607378554964	97	observed
FYB	0.0735416370628341	98	observed
LAMC2	0.0731174772582525	99	observed
PACS1	0.0728544982593158	100	observed
CACHD1	0.0725976809737652	101	observed
AP1M1	0.072140999871906	102	observed
SORCS3	0.0717710223551967	103	observed
NCK2	0.0714988325927448	104	observed
BACH1	0.0711262606446161	105	observed
ULK2	0.0710538389590329	106	observed
TMEM123	0.0705622999202714	107	observed
MYO3B	0.0705406870038828	108	observed
GALNT13	0.0702620990970363	109	observed
SARDH	0.0701508981505485	110	observed
LIMK2	0.0700116107297373	111	observed
CBL	0.0699448397545158	112	observed
RASGRF2	0.069817052689374	113	observed
ABRA	0.0697708003125609	114	observed
WIBG	0.0695194557272614	115	observed
C9orf92	0.0693489390307555	116	observed
HIPK2	0.069223118916948	117	observed
INPP4B	0.0692125001437556	118	observed
APP	0.0687773295749483	119	observed
CCDC141	0.0683315073934063	120	observed
JPH2	0.068264460358343	121	observed
PCBP3	0.0681983118080685	122	observed
TMPRSS7	0.0680437354982881	123	observed
OPA3	0.0679926251581006	124	observed
FMN1	0.0678450039205288	125	observed
TRPM3	0.0678126857197898	126	observed
SUSD4	0.0677263393915302	127	observed
EXPH5	0.0674195827958214	128	observed
SNX9	0.0673560793263809	129	observed
TESPA1	0.0671182536895773	130	observed
RGS10	0.0671102831320586	131	observed
PIK3IP1	0.0668653226775519	132	observed
IL6ST	0.0668176431672318	133	observed
RBM20	0.0668142091852753	134	observed
ARRDC4	0.0666597512273012	135	observed
ACPL2	0.0665780459528705	136	observed
CCNY	0.0661721682763983	137	observed
