BARCODE	CXCL14	GPR85	C12orf54	LINC01641
GTEX-1117F-0226-SM-5GZZ7	362	0.2945	0.6391	0
GTEX-1117F-0426-SM-5EGHI	28.05	0	0.483	0
GTEX-1117F-0526-SM-5EGHJ	8.204	0.01846	0.8625	0
GTEX-1117F-0626-SM-5N9CS	172.2	0.7916	0.7862	0
GTEX-1117F-0726-SM-5GIEN	3.327	0.5569	0.1841	0
GTEX-1117F-1326-SM-5EGHH	149.2	0.905	0.04067	0
GTEX-1117F-2426-SM-5EGGH	71.87	0.8653	1.011	0
GTEX-1117F-2526-SM-5GZY6	166.6	0.2445	3.458	0
GTEX-1117F-2826-SM-5GZXL	61.18	0.4665	0.4419	0
GTEX-1117F-2926-SM-5GZYI	245.1	0.1174	0.4714	0
GTEX-1117F-3026-SM-5GZYU	724.6	0.2904	1.818	0
GTEX-1117F-3226-SM-5N9CT	21.09	2.039	1.043	0
GTEX-111CU-0126-SM-5GZWZ	2.35	0.2767	0.2053	0
GTEX-111CU-0226-SM-5GZXC	106.2	0.3055	0.06374	0
GTEX-111CU-0326-SM-5GZXO	1.869	0.4041	0.0638	0
GTEX-111CU-0426-SM-5GZY1	27.64	1.307	0.1001	0
GTEX-111CU-0526-SM-5EGHK	5.501	0.01991	0	0
GTEX-111CU-0626-SM-5EGHL	2.152	0.1335	0.0743	0
GTEX-111CU-0726-SM-5GZYD	148.5	0.2012	0.8816	0
GTEX-111CU-0826-SM-5EGIJ	10.75	0.1998	0.7503	0
GTEX-111CU-0926-SM-5EGIK	9.325	0	0	0
GTEX-111CU-1026-SM-5EGIL	18.72	0.3319	0.07756	0
GTEX-111CU-1126-SM-5EGIM	414.5	0.1242	0.2823	0
GTEX-111CU-1226-SM-5EGIN	18.43	0.1214	0.7926	0
GTEX-111CU-1326-SM-5NQ8L	20.91	0.2288	0.4345	0
GTEX-111CU-1426-SM-5GZYP	59.44	0.009053	0.1058	0
GTEX-111CU-1526-SM-5N9FS	0.6202	0.307	0.7514	0
GTEX-111CU-1726-SM-5EGHM	2.247	3.719	63.01	0
GTEX-111CU-1826-SM-5GZYN	823.8	0.7355	0.3942	0
GTEX-111CU-2026-SM-5GZZC	18.5	0.02791	0.4891	0
GTEX-111CU-2226-SM-5N9G5	69.01	0.1366	1.23	0
GTEX-111FC-0126-SM-5N9DL	1840	0.04108	0.336	0
GTEX-111FC-0226-SM-5N9B8	1799	0.1714	0.3719	0
GTEX-111FC-0326-SM-5GZZ1	25.85	0.0124	0.1932	0
GTEX-111FC-0426-SM-5N9CV	367.3	0.09331	0.636	0
GTEX-111FC-0526-SM-5GZZ8	292.1	0.7261	3.458	0
GTEX-111FC-0626-SM-5N9CU	18.28	1.519	0.5569	0
GTEX-111FC-0826-SM-5GZWO	16.99	0.05472	0.1705	0
GTEX-111FC-1026-SM-5GZX1	105.5	0.1646	0.8462	0
GTEX-111FC-1126-SM-5GZWU	16.52	0.3499	1.162	0
GTEX-111FC-1326-SM-5N9D9	893.4	1.635	0.6057	0
GTEX-111FC-1926-SM-5GZYC	8.612	3.417	90.01	0
GTEX-111FC-2026-SM-5GZYO	22.1	0.4451	1.418	0
GTEX-111FC-2526-SM-5GZXU	1427	0.1158	1.203	0
GTEX-111FC-2926-SM-5GZY7	744.3	0.4176	0.7358	0
GTEX-111FC-3126-SM-5GZZ2	81.17	7.84	0.9761	0
GTEX-111FC-3326-SM-5GZYV	2.9	6.096	0.6212	0
GTEX-111VG-0008-SM-5Q5BG	1.007	1.246	0.04985	0
GTEX-111VG-0326-SM-5GZX7	16.61	0.5062	0.1479	0
GTEX-111VG-0526-SM-5N9BW	121.4	0.0858	0.8145	0
GTEX-111VG-0726-SM-5GIDC	10.86	1.042	0.2449	0
GTEX-111VG-1626-SM-5EGIO	738.6	0.05575	1.122	0
GTEX-111VG-1926-SM-5GIDO	4.197	6.584	190.3	0
GTEX-111VG-2226-SM-5N9DU	179.5	0.1773	0.7191	0
GTEX-111VG-2326-SM-5N9BK	600.9	2.098	0.6652	0
GTEX-111VG-2426-SM-5GZXD	1409	0.1666	1.043	0
GTEX-111VG-2526-SM-5GZXP	157	0.2532	1.218	0
GTEX-111VG-2626-SM-5GZY2	53.73	0.1054	0.2822	0
GTEX-111YS-0006-SM-5NQBE	0.2796	0.04061	0.05931	0
GTEX-111YS-0008-SM-5Q5BH	0.8545	1.759	0	0
GTEX-111YS-0126-SM-5987T	5.26	0.1671	0.6238	0
GTEX-111YS-0326-SM-5GZZ3	1.171	1.293	0.1359	0
GTEX-111YS-0426-SM-5987O	0.6349	0.05738	0	0
GTEX-111YS-0526-SM-5GZXJ	40.62	0.2943	0.5894	0
GTEX-111YS-0626-SM-5GZXV	4.139	0.2835	0.4784	0
GTEX-111YS-0726-SM-5GZY8	59.94	0.3321	0.4751	0
GTEX-111YS-0826-SM-5GZYK	7.46	0.177	1.071	0
GTEX-111YS-0926-SM-5EGGI	185.8	0.08391	4.902	0
GTEX-111YS-1026-SM-5GZYE	3.252	0.1876	0	0
GTEX-111YS-1126-SM-5GZYQ	10.95	0.0624	0.07291	0
GTEX-111YS-1226-SM-5EGGJ	1.752	0.04162	0.07294	0
GTEX-111YS-1326-SM-5EGGK	42.49	0.6531	0.1924	0
GTEX-111YS-1426-SM-5GID8	77.22	0.0187	0.08193	0
GTEX-111YS-1526-SM-5GZYW	261.8	0.09065	0.3783	0
GTEX-111YS-1626-SM-5GZZ9	8.575	0.1838	0.8054	0
GTEX-111YS-1726-SM-5GIED	16.59	0.7343	1.348	0
GTEX-111YS-1826-SM-5GIEP	2.959	0.1135	0.8706	0
GTEX-111YS-1926-SM-5GICC	50.07	0.4009	0.1626	0
GTEX-111YS-2026-SM-5EGGL	3.061	3.159	88.3	0
GTEX-111YS-2126-SM-5EGGM	69.96	0.2054	1.513	0
GTEX-111YS-2226-SM-5987P	78.16	0.2091	0.5167	0
GTEX-111YS-2326-SM-5987L	34.54	0.05289	0.1236	0
GTEX-111YS-2426-SM-5GZZQ	346.4	0.2513	0.2506	0
GTEX-1122O-0003-SM-5Q5DL	0.4396	0.07449	0.1632	0
GTEX-1122O-0005-SM-5O99J	0.5822	0.04228	0	0
GTEX-1122O-0008-SM-5QGR2	0.9042	0.9459	0	0
GTEX-1122O-0126-SM-5GICA	2.823	0.5717	0.9238	0
GTEX-1122O-0226-SM-5N9DA	30.7	0.228	0.3331	0
GTEX-1122O-0326-SM-5H124	4.119	0.1344	0.3808	0
GTEX-1122O-0426-SM-5H12G	52.15	0.1453	0.4245	0
GTEX-1122O-0526-SM-5N9DM	106.3	1.852	0.1511	0
GTEX-1122O-0626-SM-5N9B9	0.3294	0.5945	0.02446	0
GTEX-1122O-0726-SM-5GIEV	1.995	0.01222	0.1427	0
GTEX-1122O-0826-SM-5GICV	0.925	0.1045	0.1018	0
GTEX-1122O-0926-SM-9YFLC	22.55	0.2362	0.2217	0
GTEX-1122O-1026-SM-9WYSF	436.8	0.06842	0.3331	0
GTEX-1122O-1126-SM-5NQ8X	7.553	0.4625	0.05099	0
GTEX-1122O-1226-SM-5H113	163.4	0.2545	0.7124	0
GTEX-1122O-1326-SM-5H11F	92.26	0.0576	0.08412	0
GTEX-1122O-1426-SM-5H11R	27.66	0.1712	1.6	0
GTEX-1122O-1526-SM-5N9CL	71.74	0.08645	0.1263	0
GTEX-1122O-1626-SM-5N9CX	3.737	0.153	0.1117	0
GTEX-1122O-1726-SM-5GICM	52.66	0.08171	2.164	0
GTEX-1122O-1826-SM-5EGIP	10.03	0.093	0.3622	0
GTEX-1122O-1926-SM-5EGIQ	3.075	0.07565	0.03683	0
GTEX-1122O-2026-SM-9YFMG	182.3	0.3743	0.2852	0
GTEX-1122O-2126-SM-5EGIR	879.9	0.02683	0.3135	0
GTEX-1122O-2326-SM-9YFL9	21.87	0.1917	0.6719	0
GTEX-1122O-2426-SM-5GIDN	62.72	0.03137	0.5864	0
GTEX-1128S-0005-SM-5P9HI	0.03735	0.009494	0.05546	0
GTEX-1128S-0008-SM-5Q5DP	1.188	1.762	0.1604	0
GTEX-1128S-0126-SM-5H12S	19.73	0.563	0.6478	0
GTEX-1128S-0326-SM-5GZZF	64.97	0.3394	0.9914	0
GTEX-1128S-0726-SM-5N9D6	9.301	0.4232	0.2558	0
GTEX-1128S-0826-SM-5GZZI	5.518	0.007461	0	0
GTEX-1128S-0926-SM-5GZZU	88.83	1.211	0.2403	0
GTEX-1128S-1626-SM-5H12O	139.1	0.1287	0.615	0
GTEX-1128S-2126-SM-5H12U	86.45	0.602	0.5024	0
GTEX-1128S-2326-SM-5GZZY	862	0.1338	0.5303	0
GTEX-1128S-2426-SM-5H11B	31.28	0.006647	0.1942	0
GTEX-1128S-2526-SM-5H11N	45.87	0.2915	0.2301	0
