gene	cor	rank	what
LEF1	0.257090412548974	1	observed
IGSF11	0.241022806697644	2	observed
ZNF471	0.223136891790502	3	observed
NELL2	0.194592663549224	4	observed
MAL	0.187335436373317	5	observed
FAM117B	0.180340840226684	6	observed
SERINC5	0.17860239795015	7	observed
TIAM1	0.174423976004123	8	observed
PCSK5	0.168533953293646	9	observed
TCF7	0.161731319528989	10	observed
HOOK1	0.161644164526807	11	observed
ZSCAN18	0.160493647868472	12	observed
ZNF667	0.158757626760604	13	observed
ITGA6	0.155194329942164	14	observed
ADTRP	0.154199297939922	15	observed
FAM134B	0.152381298903852	16	observed
SATB1	0.151768576621174	17	observed
TRABD2A	0.150535368343036	18	observed
BTBD11	0.148180181748244	19	observed
C12orf56	0.147570145643518	20	observed
CD248	0.146644177594317	21	observed
TDRD12	0.146175940439022	22	observed
ZNF835	0.146130339361423	23	observed
SULT1B1	0.145583181196194	24	observed
LRRN3	0.145270143054805	25	observed
CARMIL1	0.142439825728546	26	observed
LMO7	0.140124015259897	27	observed
TXK	0.136898124061493	28	observed
BACH2	0.135972761456188	29	observed
APP	0.135688325867926	30	observed
KIAA1324L	0.134965618737979	31	observed
C9orf92	0.133992716636948	32	observed
ACTN1	0.132536464259999	33	observed
DACT1	0.130361108563049	34	observed
ZNF793	0.129886864168329	35	observed
SCML1	0.12929607717181	36	observed
SPON1	0.129276544738499	37	observed
ZNF442	0.12877786185937	38	observed
ZNF846	0.128279040036103	39	observed
EDAR	0.127464293392196	40	observed
CMTM8	0.126152942922255	41	observed
SLC37A3	0.126137360404472	42	observed
DSC1	0.125052018318779	43	observed
DNAH6	0.124744061133954	44	observed
LPAR3	0.123687069892852	45	observed
PATJ	0.123489593908086	46	observed
FMN1	0.122912259855719	47	observed
ANKRD55	0.12247774949742	48	observed
GOLGA8M	0.122440404510841	49	observed
ARRDC4	0.12228736641891	50	observed
FAM178B	0.119825319464259	51	observed
RALGPS2	0.11962340926791	52	observed
ARSJ	0.119154449399399	53	observed
ZBTB10	0.116210054649497	54	observed
MGAT4A	0.115605533242155	55	observed
PCBP3	0.114608007122879	56	observed
IL1R1	0.113284487794024	57	observed
PRKAG2	0.113095904697917	58	observed
NR3C2	0.112826448666228	59	observed
DGKA	0.112258351520703	60	observed
RASGRF2	0.112036856742409	61	observed
GRIP1	0.111473245000326	62	observed
CACHD1	0.11129283836187	63	observed
IL4R	0.11039767099817	64	observed
ZNF709	0.110261470750576	65	observed
ZNF93	0.109989882622604	66	observed
AK5	0.109709175121251	67	observed
KBTBD11	0.109462212966367	68	observed
ZNF492	0.109320564334413	69	observed
TNRC6B	0.109160263831672	70	observed
PYM1	0.108224443641986	71	observed
ZNF682	0.107976925799722	72	observed
FKBP5	0.107949968204239	73	observed
C14orf105	0.107125549911561	74	observed
UBE2E2	0.106813889431068	75	observed
ZNF439	0.106685591513587	76	observed
APBA2	0.106055933195705	77	observed
ADAMTS10	0.10563483847133	78	observed
MDS2	0.105397629745666	79	observed
PRG4	0.10507158106056	80	observed
WDR64	0.105043012851417	81	observed
GNAI1	0.104506264748698	82	observed
ZNF563	0.104475976431383	83	observed
CA6	0.104231141148724	84	observed
NOSIP	0.103884297189656	85	observed
RPS6KA2	0.103879124020177	86	observed
ADGRG6	0.103376065098995	87	observed
STAP2	0.103355318329498	88	observed
RP11-327P2.7	0.103330287375529	89	observed
ZNF491	0.102893601891965	90	observed
SMAP2	0.102832524677548	91	observed
SULT1E1	0.101851812886219	92	observed
MAP4K4	0.101651023553041	93	observed
NUAK2	0.101517481019204	94	observed
CNKSR2	0.101429998454419	95	observed
CTD-2561J22.3	0.101202478743112	96	observed
KLF3	0.101199337343137	97	observed
SUSD4	0.100552909494774	98	observed
CR2	0.100518805303562	99	observed
PAIP2B	0.0995176905913171	100	observed
KLHL3	0.0992264445591962	101	observed
FAM65B	0.0991620798401047	102	observed
SPINT2	0.0987973147270669	103	observed
FAM102A	0.0986693006686954	104	observed
CTC-490E21.12	0.0978825182771405	105	observed
ZNF665	0.0977867375144855	106	observed
UNC5C	0.0972613300376388	107	observed
EEFSEC	0.0972537956796059	108	observed
NSG1	0.0972404467659476	109	observed
DTNA	0.0965740332031142	110	observed
BCL11B	0.0961775127383024	111	observed
KPNA6	0.0954779007908772	112	observed
IL7R	0.0954071818617853	113	observed
SLC16A10	0.0953498172606398	114	observed
DARS	0.0952726299212587	115	observed
MFGE8	0.095250083529016	116	observed
ZNF736	0.094643924673795	117	observed
KCNN3	0.0944331803308228	118	observed
SLC12A7	0.0943040741160707	119	observed
ZNF347	0.0941805856901328	120	observed
NCK2	0.093877693061556	121	observed
ATM	0.0937177594508782	122	observed
FAAH2	0.0936817367360564	123	observed
LRRN1	0.0936561756530108	124	observed
ARHGEF10	0.0936534451687332	125	observed
PLAC8	0.0936466761298927	126	observed
UMODL1	0.0935477045776471	127	observed
SARDH	0.0932491248402979	128	observed
KANK4	0.092961183315804	129	observed
AIG1	0.0927977889875354	130	observed
MPP7	0.092517329756172	131	observed
INMT	0.0924358403865978	132	observed
VIPR1	0.0923321677480129	133	observed
CLDN1	0.0920119866478778	134	observed
NRN1	0.0918909272338021	135	observed
CTD-2192J16.17	0.0908706089338699	136	observed
ZNF90	0.0907171329759136	137	observed
PDGFRL	0.090098103752294	138	observed
XRCC5	0.0900752269331773	139	observed
COL13A1	0.0900712610791192	140	observed
KRT73	0.0900229227983728	141	observed
PECAM1	0.0899276584451346	142	observed
SESN3	0.0897566097540435	143	observed
