position	coverage	clip_count	SA
16569	26289	26233	6545
16449	117764	22496	14461
16357	77659	15041	31522
16368	123254	14363	18430
16454	86714	12637	3521
16466	64055	12295	2874
16457	72999	8371	2562
16375	141594	7714	22644
16450	95047	7513	5439
16358	92005	7435	13640
16504	48667	6816	9539
315	10004	6183	11
3493	22819	5647	110
16528	40572	4590	1574
16313	32563	4265	4293
16355	45476	3908	5059
1	8702	3684	8006
16551	32633	3303	2008
16343	38543	3062	11594
16362	96955	2743	2187
16530	36025	2253	1395
16489	51411	2119	1009
16425	136045	2054	1449
16471	51704	1965	853
309	10835	1780	315
16508	41667	1743	2390
15537	34978	1419	1651
16518	40542	1330	1304
966	31578	1310	664
16223	13679	1115	1859
16560	28622	1110	334
16481	51616	1096	361
16233	15606	1029	1751
471	22084	986	66
16305	27014	956	994
16448	118849	850	347
16363	98384	773	1255
16451	87351	732	366
16325	33398	700	691
16505	41880	670	564
8578	19905	661	4
16533	33869	648	245
56	10039	642	42
57	9386	636	49
16455	73801	631	381
16426	130576	604	5244
2488	23943	587	3
16427	130369	581	303
114	9097	550	455
58	8693	538	44
16311	27213	536	1025
16349	38652	519	653
16461	64837	501	279
16071	21826	494	797
507	20875	490	36
3802	26733	476	272
973	30238	445	204
16379	144198	445	1908
45	11146	439	43
3263	29942	438	206
8659	23965	434	1
16447	119520	429	279
1063	27944	426	169
47	10775	419	37
15405	30940	384	405
15643	33909	373	22
16436	126009	368	93
16423	139359	367	113
16391	149945	367	1435
16464	64329	358	320
311	9620	352	9
16482	50642	346	191
16360	92771	344	612
39	11433	343	15
16444	120458	342	229
16453	86924	334	224
16397	149417	334	435
16394	146811	333	1599
16184	13536	333	427
16283	25642	329	298
174	11320	328	641
16493	49413	321	227
286	12419	320	77
3577	23109	319	128
16456	73173	317	210
16499	49135	311	403
16462	64539	305	160
16072	22222	299	411
16127	18383	298	397
13932	26551	297	277
15535	33016	296	261
192	11338	290	169
3549	24266	289	0
959	31778	287	169
16067	20892	280	200
5312	27477	279	4
16488	51623	277	168
303	11037	271	19
467	22255	269	170
16188	13702	267	142
16433	127450	267	89
15994	25885	266	365
527	20200	265	153
14114	29327	248	221
68	7754	244	49
537	20112	241	103
538	19897	237	129
3108	28235	235	2
16247	16691	233	348
16440	124518	232	153
3484	16002	231	4
983	29794	228	127
16034	22515	227	275
16412	149041	225	101
2480	23546	224	3
16429	129401	224	166
16252	17253	222	302
16458	64790	222	160
3524	24329	220	8
16459	64770	218	194
3512	23421	216	12
3165	29603	216	5
1137	26344	216	82
16280	25377	216	241
3750	27827	215	1
16393	150123	215	274
16388	147787	213	385
553	20067	213	133
87	7932	213	64
53	10351	207	21
16287	25724	206	108
16390	148833	204	424
14265	28339	204	198
16106	19856	201	183
14426	29887	200	2
763	26740	195	113
481	21243	192	116
13792	25698	191	189
511	20461	187	101
16468	51814	186	129
16467	51961	185	231
3497	22767	184	7
16465	64135	183	218
15900	30606	182	236
15524	32058	182	178
16291	25736	180	166
16372	122371	180	363
1900	31362	180	55
16565	27091	179	45
16424	136008	179	156
16435	126660	178	78
1111	27008	177	93
63	7926	177	14
2702	25018	177	2
16297	25694	174	69
16369	121668	174	344
3272	29327	173	90
16389	148223	172	401
14384	29449	172	186
2703	24876	170	1
12090	22553	168	2
132	9227	167	162
8558	18530	167	4
16428	129958	167	202
2187	31961	166	69
16421	142223	165	103
15539	35422	164	200
1146	26248	159	34
307	11032	159	48
15547	35545	159	163
16567	26673	156	22
13836	25208	155	156
16432	127614	154	94
4015	25538	152	82
16070	21172	152	193
16395	147528	150	355
16353	38819	149	340
16352	38714	149	160
498	21168	149	31
16373	122611	148	301
13920	25991	148	141
2705	24733	145	2
16422	141549	145	119
14130	29738	144	3
5453	27775	143	64
16364	98815	141	283
16069	21001	141	166
16299	25872	140	178
14212	30246	140	124
16431	128760	139	103
16463	64301	135	90
16568	26481	135	19
16361	92993	135	244
16525	40071	134	80
16383	145584	133	194
16439	124822	133	117
6341	18957	132	43
16434	126902	131	82
2701	25176	131	2
8577	19118	129	4
16552	29248	128	64
3456	18076	127	79
16470	51671	126	128
15896	30489	124	202
16107	19838	123	204
16411	148768	123	118
16417	144372	123	193
16359	92149	120	357
16374	122906	119	359
16460	64789	118	152
16566	26856	118	35
16413	148214	117	132
3783	27153	116	49
16366	99765	114	226
16442	121098	113	111
16420	143182	113	95
495	21195	112	70
15531	32604	111	121
3394	24683	111	43
16437	125395	111	90
14815	27608	111	88
463	22504	110	50
894	29892	109	45
16446	119661	109	101
522	20286	109	37
5324	26764	109	2
16371	122022	108	207
3522	23975	108	3
16408	147416	108	116
14330	27504	107	102
16405	147109	107	144
16474	50708	107	64
3489	16030	106	6
16502	48757	106	101
16256	17360	105	107
302	10952	104	14
2704	24745	104	2
14563	30913	104	89
4022	25228	103	61
299	11301	101	48
16475	50833	101	68
16385	146620	100	217
212	11559	99	136
16469	51697	99	157
3974	26092	99	49
16445	119977	99	96
16495	49181	98	97
16235	15798	98	94
560	20153	96	40
16387	147293	95	131
147	9940	94	55
14382	29279	94	108
15990	25577	93	144
16415	146959	93	182
14810	27399	93	87
5154	30073	93	18
65	7797	93	61
59	8101	92	17
16244	16364	92	113
898	30077	92	53
2457	24686	91	0
525	20208	90	9
305	11014	89	6
16483	51809	87	64
379	13440	87	3
16334	33634	87	319
15700	32068	86	108
505	20928	86	55
16270	18482	86	54
3829	26483	86	0
16407	147123	86	142
16248	16876	86	60
16254	17408	85	96
16103	19848	85	46
15829	31836	84	116
16400	146117	83	282
16416	144450	82	449
16418	144324	82	167
714	27090	82	48
3495	22728	82	43
16075	22169	82	103
16367	101420	82	230
3270	29421	82	33
16510	40065	81	71
16164	14811	81	49
3328	28393	81	28
516	20291	81	45
304	11022	80	10
16430	128918	80	77
16403	147217	80	362
16346	38432	80	150
15965	26858	80	135
16181	13224	80	105
16501	48813	79	68
16370	121795	79	213
16365	99437	78	205
5472	27282	78	27
131	9242	78	14
16392	149951	78	251
15727	31935	76	29
544	19726	75	27
16564	27217	75	15
1478	28645	75	39
13759	24356	75	72
528	19991	74	38
3312	28737	74	41
15668	33489	74	2
1236	26439	74	37
8579	20090	73	1
8574	18872	73	4
16513	40308	73	109
16524	40034	73	84
8412	25564	73	1
16486	51638	72	46
16354	38829	72	183
11933	22743	71	5
16386	147100	71	156
16529	36058	71	53
16336	33797	70	87
5737	23900	70	30
308	10965	70	23
490	21100	69	38
3488	15963	69	30
3023	28904	69	26
14341	27706	68	67
10307	21695	68	0
8568	18616	68	0
16285	25570	68	46
16378	142586	68	201
16377	142370	68	232
16503	48705	67	86
16189	13744	67	90
16295	25595	67	8
16549	32872	66	35
16078	22034	66	97
16515	40593	66	45
293	11905	66	28
3479	16169	66	34
16509	40042	66	75
52	10419	65	6
2487	23373	65	0
5157	29924	65	1
14403	29773	65	57
14362	28463	65	54
4225	27310	65	23
16052	21180	64	80
16384	145917	64	314
64	7776	64	16
16314	32580	64	22
16406	147088	64	117
3465	17301	64	39
72	7564	64	28
16438	125040	64	64
15851	31188	64	78
3510	23174	63	5
3417	22185	63	17
16303	25853	63	3
16279	25189	63	24
16409	147447	63	96
15380	29317	63	57
16473	50696	63	33
16452	86928	63	100
16399	146584	62	154
16260	17383	62	32
16414	147619	62	124
16512	40332	62	60
4398	23316	62	29
41	11059	62	9
15623	34315	61	72
16396	147241	61	85
8678	23743	61	1
1840	31877	60	31
16410	148328	60	122
16114	19368	60	60
13994	28805	60	65
15638	34006	59	81
16105	19776	58	73
16496	48994	57	54
16330	33458	57	198
15911	30041	57	91
3260	30008	57	28
13444	23130	57	62
16472	50096	56	24
8534	18665	56	1
5129	30021	56	24
3586	23024	56	27
16516	40577	56	44
3506	23000	56	5
170	11031	56	33
2476	23506	55	1
16404	147105	55	189
5740	23868	55	19
16318	32639	55	32
15929	28935	55	46
960	31537	55	13
16492	49385	54	43
54	10135	54	5
16490	49319	54	36
16478	51232	54	35
16376	141955	54	267
16380	144225	54	219
14335	27555	54	59
2579	25746	54	22
3600	23248	54	25
739	27142	54	30
193	11069	53	43
16298	25712	53	54
243	12250	52	23
78	7678	52	38
16110	19642	52	56
16319	32675	52	270
5763	23509	52	20
465	22351	52	25
16401	146449	52	195
503	20990	52	22
15526	32284	52	60
3836	26719	51	32
16476	50918	51	25
16441	124193	51	67
16479	51355	51	41
127	9115	51	28
16485	51699	51	34
1931	31308	51	26
16317	32636	50	46
16480	51445	50	40
2479	23248	50	0
16381	144677	50	266
4399	23237	50	3
14906	27425	50	56
16344	38467	50	213
16104	19762	50	78
16402	146544	50	109
632	22888	50	37
16550	32740	50	35
8482	21521	49	24
15523	31725	49	19
3255	29949	49	20
3174	29480	49	0
14900	27312	49	50
1145	26179	48	10
2107	30573	48	20
8576	18954	48	3
67	7731	48	14
16443	120715	48	65
306	10997	48	8
16356	45669	48	126
15778	31770	47	47
16542	33502	47	17
16347	38106	47	92
539	19713	46	13
13989	28510	46	42
149	9952	46	57
12395	23365	46	0
16559	28714	46	17
16398	146707	46	130
8571	18771	46	7
1344	28000	45	22
2490	24026	45	0
16507	41602	45	54
15941	28215	45	54
16348	37979	45	186
2123	30299	45	21
3571	23062	45	15
575	20502	44	11
16243	16223	44	36
15327	29050	44	20
8474	22244	44	0
13763	24620	44	29
3614	23687	44	19
7798	22604	44	0
14485	28627	44	22
16234	15717	44	38
3533	24558	44	13
561	20133	43	21
14155	30132	43	39
11426	23275	43	16
16484	51789	43	46
16066	20641	43	48
573	20480	43	1
16557	28870	43	9
16351	38603	42	139
16487	51608	42	36
15961	27127	42	15
2450	25530	42	1
16517	40567	42	66
506	20855	41	17
16315	32582	41	29
571	20419	41	12
500	20900	41	20
13798	25783	41	27
16250	16869	41	47
5146	30010	41	13
708	26749	41	12
15479	31275	41	46
14049	28687	40	43
8212	23431	40	0
15659	33536	40	36
1143	26182	40	0
3208	29039	40	26
5371	28440	40	22
12007	22720	40	46
14812	27526	40	50
14531	29569	40	45
15608	34863	40	37
14806	27254	40	37
499	20983	40	25
16548	32960	40	9
11176	24503	40	0
14417	29824	40	31
16419	143727	39	100
4703	26968	39	19
16108	19802	39	46
148	9944	39	23
1630	28211	39	15
186	11256	39	23
211	11589	39	34
8417	25400	39	1
16477	51081	39	42
8491	20734	39	4
7730	22962	38	21
15891	30541	38	63
16350	38602	38	77
1367	28601	38	20
14647	32643	38	38
462	22550	38	19
15533	32672	38	39
15381	29402	38	34
15147	30046	38	23
964	31625	38	31
449	22420	38	35
13412	22936	38	23
458	22711	38	18
6850	21539	38	16
7825	22755	37	1
502	20985	37	7
15951	27549	37	39
301	11040	37	7
900	30064	37	27
8551	18578	37	0
3666	25834	37	21
3500	22802	37	2
91	7854	37	21
4019	25329	37	16
5389	29099	37	14
16538	33551	37	12
518	20274	37	15
3849	27038	37	3
13773	25118	37	28
8572	18815	36	3
13753	24190	36	23
14653	32471	36	32
13447	23186	36	36
3590	23067	36	13
15516	31507	36	31
16178	13510	36	37
3478	16279	36	14
14877	27255	36	34
6420	17715	36	1
470	22119	36	15
460	22638	35	27
3476	16263	35	6
16076	22130	35	55
16332	33502	35	50
4432	22666	35	18
11978	22353	35	1
6537	20347	35	15
3556	23631	35	0
14737	28511	35	35
576	20526	35	1
16182	13193	35	59
3271	29407	34	11
16547	33051	34	22
151	10038	34	17
16561	27451	34	10
3516	23595	34	3
805	27296	34	17
3178	29386	34	0
4916	25731	34	4
15613	34797	33	29
8567	18576	33	0
15739	32018	33	21
14421	29864	33	3
13983	28336	33	27
14430	29767	33	0
6164	20567	33	22
10139	23877	33	28
15435	31753	33	26
14337	27580	33	28
16340	33450	33	101
3696	26433	33	21
1147	26161	33	2
7407	24987	32	17
3578	22833	32	11
16278	25117	32	18
1469	28606	32	15
15807	32112	32	32
4819	25476	32	0
14429	29771	32	4
4694	26935	32	0
11536	22421	32	24
4254	26780	32	12
461	22595	32	16
7802	22631	32	0
3519	23755	32	12
178	11123	32	23
14247	29006	32	31
764	26510	32	12
929	31347	31	13
16198	13341	31	33
3492	15996	31	11
300	11148	31	6
512	20245	31	6
16527	40501	31	15
16341	33447	31	59
13711	22822	31	27
7342	23030	31	29
15822	31913	31	30
3589	23098	31	1
15987	25594	31	35
3503	22841	31	3
14416	29848	31	25
8544	18449	31	0
824	27083	30	17
14137	29637	30	12
5331	26730	30	10
14431	29678	30	0
14805	27219	30	33
13649	23182	30	34
16109	19765	30	42
2474	23700	30	4
15551	36295	30	14
15444	31784	30	14
1942	31253	30	10
16095	20636	30	22
15598	35387	30	25
5216	28166	30	2
3521	23804	30	2
1835	31654	30	20
16498	49089	30	32
10934	23712	30	3
6851	21499	30	11
6125	20989	29	16
61	7951	29	10
55	10097	29	8
16152	16067	29	17
563	20216	29	4
3536	24525	29	3
469	22077	29	11
4200	27869	29	11
15265	28163	29	30
3259	30040	29	9
16345	38478	29	109
14809	27333	29	26
529	19911	29	12
16082	21711	29	44
5457	27510	29	10
16217	12326	29	11
16500	48830	29	25
4141	26987	29	10
8547	18557	28	1
3820	26299	28	12
5454	27602	28	16
188	11295	28	46
5161	29733	28	0
896	30000	28	17
105	8663	28	18
1139	26186	28	0
3901	27311	28	8
14437	29462	28	0
1133	26163	28	1
15553	36242	28	22
4198	27862	28	12
15184	29886	28	18
7992	21957	28	11
3632	24575	28	17
2114	30345	27	20
16219	12264	27	42
14132	29639	27	25
451	22605	27	9
1905	31242	27	11
965	31604	27	16
16339	33450	27	80
15949	27769	27	39
13844	24962	27	24
574	20483	27	5
16382	145077	27	168
3502	22905	27	6
16327	33416	27	24
5178	29488	27	2
14440	29363	27	17
2485	23384	27	0
13837	25156	27	22
3487	16004	27	15
16320	32674	27	15
16316	32599	27	42
14765	27936	27	10
12976	20728	27	37
13809	25612	26	5
16163	14932	26	34
16150	16196	26	31
3257	30029	26	8
13923	25993	26	15
726	27186	26	18
16281	25323	26	14
8476	22106	26	16
15161	30228	26	0
16543	33375	26	14
107	8736	26	16
5753	23810	26	27
14625	31970	26	29
3992	26181	26	14
2723	25375	26	0
2728	25687	26	1
2466	24371	26	3
15967	26706	26	8
15069	29600	26	22
