out1	out2
16104	41
16569	1
16462	42
16454	34
16465	45
16569	1
16453	33
16247	45
16569	1
16569	1
16569	1
16256	64
16569	1
16067	57
16247	45
16569	1
16109	39
16569	1
16450	30
16464	44
16247	45
16569	1
16247	45
16107	57
16071	39
16569	1
16569	1
16569	1
16569	1
16465	45
16569	1
16569	1
16114	65
16569	1
16569	1
16569	1
16569	1
16105	53
16455	35
16569	1
16569	1
16569	1
16569	1
16042	58
15911	47
16247	45
16256	64
16459	39
16569	1
16071	39
15911	47
16569	1
16569	1
16569	1
16569	1
16569	1
16467	39
16569	1
16108	57
16247	45
16458	38
16452	32
16189	47
16460	40
16569	1
16468	48
16457	37
16569	1
16067	57
16569	1
16569	1
16569	1
16569	1
16460	40
16247	45
16126	57
16569	1
16248	91
16569	1
16569	1
16451	31
16174	45
16569	1
16569	1
16569	1
16569	1
16071	39
16107	59
16569	1
16569	1
16247	45
16262	57
16569	1
16042	58
16569	1
16189	47
16247	45
16569	1
16569	1
16569	1
16569	1
16247	45
16456	36
16104	57
16569	1
16454	34
16569	1
16569	1
16569	1
16189	47
16569	1
16569	1
16248	78
16569	1
15911	47
16569	1
16569	1
16569	1
16469	49
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16163	48
16569	1
16569	1
16127	57
16569	1
16569	1
16569	1
16569	1
16569	1
16107	57
16569	1
16569	1
16466	46
16456	36
16569	1
16569	1
16502	1
16107	57
16071	39
16569	1
16569	1
16121	58
16569	1
16569	1
16569	1
16569	1
16043	54
16184	52
16569	1
16457	37
16458	38
16254	53
16453	33
16109	39
16042	58
16569	1
16569	1
16569	1
16109	39
16189	47
15911	47
16451	31
16071	39
16071	39
16127	57
16071	39
16569	1
16569	1
16254	53
16456	36
16247	45
16569	1
16254	53
16189	47
16569	1
16071	39
16247	45
16451	31
16104	57
16104	57
16457	37
16569	1
16071	39
16454	34
16189	47
16569	1
16569	1
16456	36
16469	49
16460	40
114	1
114	1
1	31
16569	1
16564	1
16466	46
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16299	47
16460	40
16569	1
16569	1
16569	1
16455	35
16569	1
16451	31
16451	31
16569	1
16569	1
16569	1
16454	34
16569	1
16470	50
16174	45
16569	1
16569	1
16569	1
16254	53
16569	1
16566	1
16185	61
16569	1
16569	1
16569	1
16109	39
16569	1
16569	1
16569	1
16458	38
16071	39
16569	1
16569	1
16451	31
16569	1
16071	39
16569	1
16520	99
16184	52
16569	1
16569	1
16569	1
16569	1
16569	1
15769	59
16451	31
16569	1
16569	1
16458	38
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16390	56
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16452	32
16330	58
16108	57
16468	45
16569	1
16569	1
16569	1
16569	1
16569	1
16299	47
16569	1
16569	1
16569	1
16388	57
16569	1
16569	1
16463	43
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16468	48
16569	1
16127	57
16569	1
16569	1
16569	1
16569	1
16451	31
16569	1
16466	46
16569	1
16569	1
16458	38
16451	31
16520	95
16569	1
16453	33
16569	1
16467	47
16569	1
16569	1
16450	30
16469	49
16569	1
16569	1
16569	1
16468	48
16127	62
16569	1
16451	31
16460	40
16568	1
16569	1
16464	44
16569	1
16569	1
16569	1
16299	47
16569	1
16390	56
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16453	33
16464	44
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16450	30
16569	1
16569	1
16455	35
16569	1
16569	1
16456	36
16569	1
16569	1
16569	1
16569	1
16461	41
16569	1
16470	50
16569	1
16569	1
16465	40
16462	42
16467	47
16463	43
16569	1
16569	1
16569	1
16107	57
16451	31
16569	1
1488	1
16569	1
16452	32
16569	1
16569	1
16450	30
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16457	37
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16359	58
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16458	38
16569	1
16569	1
16569	1
16456	36
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16461	41
16569	1
16452	32
16463	43
16569	1
16569	1
16569	1
16569	1
16455	35
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16388	57
16569	1
15327	67
