out1	out2
16569	1
16569	1
16569	1
16569	1
16466	46
16459	39
16569	1
16451	31
16569	1
15985	39
16569	1
16569	1
16457	37
16262	57
16569	1
16569	1
16452	32
16569	1
16569	1
16569	1
16569	1
16569	1
16455	35
16249	35
16107	52
16190	48
16254	40
16456	36
16569	1
16569	1
16569	1
16454	34
16569	1
16262	57
16569	1
16456	36
16451	31
16451	31
16569	1
16067	43
16264	57
16569	1
16262	57
16569	1
16255	67
16450	30
16569	1
16481	42
16262	57
16463	43
16466	46
16121	58
16569	1
16569	1
16569	1
16454	34
16254	39
16254	39
16458	38
16190	48
16454	34
16569	1
16569	1
16569	1
16569	1
16569	1
16107	59
16569	1
16569	1
16461	41
16463	43
16256	57
16569	1
16569	1
16450	30
16454	34
16569	1
16569	1
16468	48
16569	1
16455	35
16569	1
16460	40
16569	1
16462	42
16569	1
16388	57
16262	57
16262	57
16190	48
16107	56
16262	57
16569	1
16107	56
16566	1
16569	1
16456	36
16569	1
16254	40
16569	1
16569	1
16569	1
16569	1
16569	1
16459	39
16285	43
16262	57
16569	1
16464	44
16569	1
16262	57
16461	41
16569	1
16569	1
97	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16262	57
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16458	38
16454	34
16569	1
16089	59
16262	57
16569	1
16569	1
16569	1
16569	1
16469	49
16107	56
16569	1
16569	1
16107	56
16569	1
16569	1
16569	1
16455	35
16569	1
16249	35
16451	31
16569	1
16469	49
16569	1
16464	35
16569	1
16467	47
16465	45
16569	1
16455	35
16569	1
16107	59
16569	1
16107	56
16451	31
16569	1
16538	1
16254	40
16569	1
16107	56
16105	57
16256	57
16569	1
16569	1
16569	1
16254	40
16569	1
16453	33
16569	1
16569	1
16569	1
16569	1
16462	42
16569	1
16569	1
16569	1
16388	57
16569	1
16454	34
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16479	41
16569	1
16569	1
16388	57
16569	1
16461	41
16458	38
16569	1
16388	57
16388	57
16569	1
16569	1
16569	1
16388	57
16388	57
16458	38
16569	1
16569	1
16569	1
16569	1
16452	32
16106	56
16249	35
16569	1
16466	46
16262	57
16569	1
16569	1
16569	1
16569	1
16569	1
16467	47
16569	1
16067	43
16452	32
16457	37
16288	57
16295	44
16569	1
16569	1
16459	39
16470	50
16569	1
16569	1
16451	31
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16450	30
16569	1
16569	1
16456	36
16569	1
16569	1
16569	1
16569	1
16569	1
16569	1
16453	33
16455	35
16569	1
16569	1
16470	50
16569	1
16569	1
16454	34
16569	1
16388	57
16569	1
16569	1
16468	48
16453	33
16569	1
16388	57
16394	59
16569	1
16450	30
16569	1
16290	57
16290	57
