p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	color
0	0.950200170085921	0.638	0.086	2e-190	ZNF462	TRUE
3.81599264810421e-183	0.407980124857665	0.315	0.03	7.72089792492926e-179	RP11-508N12.4	FALSE
2.20208043041031e-134	0.556225753685938	0.485	0.128	4.45546933484919e-130	ADAM23	TRUE
1.12664184717222e-121	0.347423438153928	0.247	0.031	2.27953444938356e-117	ADAMTS1	FALSE
4.26874124250165e-121	0.556192445157592	0.482	0.138	8.63694415595358e-117	MB21D2	FALSE
2.52678382180074e-106	0.29900354285518	0.23	0.031	5.11244170664943e-102	SPRY2	FALSE
1.88620696711317e-104	0.490607098465859	0.463	0.143	3.81636255656007e-100	BCL11A	FALSE
3.26905909844191e-99	0.617529603491309	0.759	0.377	6.61428727387751e-95	CSMD1	FALSE
8.4324302358626e-92	0.605913939071496	0.744	0.382	1.70613360962208e-87	TOX	TRUE
1.81910654082596e-91	0.590888704226922	0.737	0.368	3.68059826405316e-87	TRIO	FALSE
6.21036783715927e-89	0.404237705937236	0.426	0.133	1.25654372449243e-84	SOX4	FALSE
1.75515515326144e-88	0.613952973648261	0.702	0.349	3.55120542159386e-84	IKZF2	TRUE
3.04118717860745e-88	0.298926666610643	0.266	0.054	6.15323401847646e-84	GUCY1B3	FALSE
7.2117581766914e-88	0.503396960261697	0.538	0.209	1.45915503188997e-83	DACH1	FALSE
2.67115162104232e-81	0.627260138086331	0.813	0.502	5.40454107485493e-77	AUTS2	FALSE
5.60164028303267e-79	0.361054282180781	0.292	0.073	1.133379878466e-74	DAPK1	FALSE
6.74710654945034e-76	0.412203590715873	0.451	0.164	1.36514206815029e-71	FRY	FALSE
1.82463277255112e-75	0.243212320350531	0.171	0.025	3.69177948870268e-71	BMP4	FALSE
4.67774344373216e-75	0.542775208484425	0.936	0.765	9.46447830970328e-71	MAML3	FALSE
1.86168860239301e-74	0.408201350788391	0.378	0.124	3.76675454922179e-70	PLEKHG1	FALSE
9.15497109528227e-71	0.413145418509778	0.421	0.153	1.85232530170846e-66	IGFBP5	FALSE
1.24398161614833e-69	0.475397024673856	0.648	0.323	2.51694800395293e-65	DCC	FALSE
8.49846971410683e-69	0.234885986906462	0.171	0.028	1.71949537725523e-64	KLF4	FALSE
5.4240766063704e-68	0.558734791556569	0.853	0.592	1.09745341976692e-63	MTSS1	FALSE
4.55097158090302e-67	0.397390159203118	0.426	0.16	9.20798079964109e-63	CHN2	FALSE
2.02940444155788e-66	0.378748551031986	0.385	0.139	4.10609400660406e-62	PLCH1	FALSE
3.53397135142052e-65	0.316773415763581	0.29	0.084	7.15028423532914e-61	MPPED2	FALSE
4.19102040105317e-61	0.221047488708974	0.18	0.036	8.47969157745087e-57	CD8B	FALSE
6.26585251329675e-61	0.224503587563449	0.185	0.038	1.26776993901533e-56	ARPP21	FALSE
9.44922835170153e-60	0.360002199245587	0.354	0.127	1.91186237239977e-55	EFNA5	FALSE
2.57896368501108e-59	0.295405676322259	0.318	0.104	5.21801722388291e-55	ARHGEF26	FALSE
5.38267236724661e-57	0.267734241136607	0.269	0.08	1.08907610006501e-52	LRRN1	FALSE
2.40130895352134e-56	0.248380125143603	0.22	0.056	4.85856840565973e-52	GLI3	FALSE
4.73838101880601e-54	0.250877096031019	0.295	0.097	9.5871663153502e-50	FBXL7	FALSE
1.93175280412424e-53	0.382585109972994	0.57	0.285	3.90851544858457e-49	TCF4	FALSE
4.34838240452059e-53	0.306707541560936	0.321	0.113	8.79808211906652e-49	TNFRSF21	FALSE
4.76260714741366e-53	0.196147253077097	0.178	0.04	9.63618304136206e-49	HHIP	FALSE
1.49471627711943e-52	0.457362744683864	0.959	0.812	3.02425944349574e-48	TIAM1	FALSE
6.032125193558e-52	0.381889249904228	0.582	0.293	1.22047989041259e-47	KCNIP4	FALSE
8.25135943926057e-52	0.409578621109262	0.666	0.367	1.66949755534559e-47	CACHD1	FALSE
1.13079187395821e-51	0.119877931795174	1	1	2.28793119857964e-47	CKS1B.1	FALSE
1.35027511283128e-50	0.272105081055287	0.313	0.112	2.73201163579153e-46	MARCKS	FALSE
2.04266290141332e-49	0.266008213218596	0.383	0.152	4.13291984842956e-45	HPGD	FALSE
6.59891834549403e-48	0.337202426454258	0.476	0.227	1.33515914884381e-43	LPAR3	FALSE
6.75375010831028e-48	0.231903793981752	0.169	0.04	1.36648625941442e-43	EVA1A	FALSE
3.13337155949375e-46	0.204289236030957	0.202	0.057	6.33975067632371e-42	CCR9	FALSE
4.17017518477013e-45	0.385760073221182	0.717	0.446	8.4375154513454e-41	EBF1	FALSE
1.46013526831523e-44	0.348896971212438	0.501	0.253	2.95429168838221e-40	ZNRF1	FALSE
1.57335588034021e-44	0.373125485900194	0.568	0.306	3.18337095269235e-40	FBXO32	FALSE
2.45902266826065e-44	0.286502466539083	0.417	0.189	4.97534056469176e-40	PRKD1	FALSE
4.12435461050304e-44	0.268001131579967	0.341	0.138	8.34480668343081e-40	ZNF608	FALSE
8.98086132455273e-44	0.19894933052535	0.213	0.064	1.81709767179675e-39	RHOBTB1	FALSE
9.91557302860342e-44	0.399820754591767	0.605	0.343	2.00621789087733e-39	PLCB1	FALSE
2.61151229802824e-43	0.124289015306639	0.108	0.018	5.28387283260055e-39	CXCL2	FALSE
2.72116063021383e-43	0.212960252177059	0.213	0.065	5.50572430311164e-39	SCRN1	FALSE
2.77253410818094e-43	0.319262320713015	0.428	0.2	5.6096682610825e-39	PTPN14	FALSE
1.1011620122685e-42	0.378176335525475	0.63	0.354	2.22798109942286e-38	TENM1	FALSE
1.71414669780656e-42	0.131278214754893	0.106	0.017	3.46823301367202e-38	RASSF6	FALSE
6.17942349839924e-42	0.339528828506786	0.598	0.334	1.25028275643112e-37	WDR63	FALSE
4.64232220624911e-41	0.2512937511169	0.326	0.135	9.39281051990383e-37	NT5E	FALSE
2.06042353838127e-40	0.288147247291197	0.494	0.247	4.16885494520681e-36	CNTNAP5	FALSE
2.91980929406223e-40	0.136283919616072	0.123	0.025	5.90765014467612e-36	CCR4	FALSE
3.95520000811765e-40	0.178785909207743	0.194	0.058	8.00255617642445e-36	MOXD1	FALSE
4.57259437618179e-39	0.200720629246428	0.233	0.081	9.25173020132861e-35	KCNH5	FALSE
1.42575253630561e-38	0.170782879209893	0.247	0.089	2.88472510670713e-34	ZNF521	FALSE
1.64621314293067e-38	0.155220189587103	0.151	0.039	3.33078305209163e-34	SH3GL3	FALSE
1.70305796766802e-38	0.356756480359925	0.636	0.389	3.4457971859827e-34	PALM2-AKAP2	FALSE
1.70305796766802e-38	0.356756480359925	0.636	0.389	3.4457971859827e-34	AKAP2	FALSE
3.69137794301142e-38	0.360081372295788	0.809	0.577	7.468764992095e-34	ROBO2	FALSE
5.99407514558245e-38	0.154965444547788	0.141	0.035	1.2127812242057e-33	RAG2	FALSE
8.1271511727497e-38	0.366204527537182	0.694	0.445	1.64436649678245e-33	LZTFL1	FALSE
1.04891150475617e-37	0.234397107471878	0.321	0.135	2.12226264757317e-33	GNAO1	FALSE
4.58990458944058e-37	0.285471269186383	0.514	0.271	9.28675395581512e-33	SLC25A13	FALSE
4.59983035288123e-37	0.387352325379876	0.847	0.646	9.30683675298459e-33	CHST11	FALSE
1.2958630761269e-36	0.36901942398471	0.701	0.454	2.62191976192756e-32	LRCH1	FALSE
1.54076783447168e-36	0.3697736300786	0.81	0.6	3.11743555948656e-32	FAM53B	FALSE
3.53471821732424e-36	0.144868472543012	0.161	0.045	7.15179536911214e-32	CXXC4	FALSE
6.28119170316071e-36	0.323991131620411	0.603	0.349	1.27087351730051e-31	PELI2	FALSE
1.97480514860489e-35	0.134407411471892	0.125	0.029	3.99562325717227e-31	GUCY1A3	FALSE
2.05443317435564e-35	0.24659347114229	0.395	0.187	4.15673464167376e-31	MAF	FALSE
3.23329680789552e-35	0.245570708758622	0.354	0.162	6.54192943141501e-31	CLDN1	FALSE
4.55479000598329e-35	0.241054145756639	0.418	0.209	9.215706619106e-31	NRXN3	FALSE
6.85653758838597e-35	0.272800971746023	0.375	0.182	1.38728325025813e-30	SH3TC1	FALSE
2.01037778659616e-34	0.128073020253391	0.207	0.071	4.06759737562e-30	DSCAM	FALSE
2.37176634516662e-34	0.252900999977994	0.369	0.174	4.79879484617561e-30	MAPK10	FALSE
3.08833750508622e-34	0.153194769609601	0.155	0.044	6.24863327404095e-30	C11orf74	FALSE
3.18060503445465e-34	0.201344924223198	0.291	0.121	6.4353181662121e-30	ALOX5	FALSE
5.53073776187446e-34	0.169556481664146	0.221	0.081	1.11903417136006e-29	CPVL	FALSE
1.16146169633379e-33	0.220578181845054	0.241	0.093	2.34998545019216e-29	NDST3	FALSE
1.41323364677991e-33	0.293851440445328	0.557	0.322	2.8593956375298e-29	GLB1	FALSE
1.43898660288221e-33	0.193643381348962	0.292	0.122	2.91150159361157e-29	JAKMIP2	FALSE
1.44479394361171e-33	0.202815661313008	0.316	0.14	2.92325158610958e-29	DPP6	FALSE
3.46590830288027e-33	0.255930183742219	0.334	0.155	7.01257226921766e-29	ZFPM2	FALSE
4.13849888340377e-33	0.331647180207762	0.872	0.691	8.37342479079084e-29	MAD1L1	FALSE
5.08230603535087e-33	0.376486845993574	0.692	0.47	1.02830298013254e-28	TOX2	FALSE
8.51100340454887e-33	0.357940385020017	0.814	0.591	1.72203131884237e-28	MED12L	FALSE
1.48379234467488e-32	0.179316636595059	0.194	0.067	3.00215705098069e-28	HMGA2	FALSE
1.75307593454287e-32	0.342032353483441	0.921	0.786	3.54699853836058e-28	LDLRAD4	FALSE
1.98673450294116e-32	0.336450069630537	0.841	0.656	4.01975991980085e-28	RP11-12J10.3	FALSE
2.88769272194737e-32	0.30974448285372	0.538	0.311	5.84266868431611e-28	LIPC	FALSE
3.2499715585628e-32	0.211177880874474	0.269	0.113	6.57566745444012e-28	CRIM1	FALSE
3.85679729725852e-32	0.294937270562968	0.968	0.844	7.80345797154317e-28	TBC1D5	FALSE
5.74485253730473e-32	0.217394161122608	0.308	0.139	1.16235601387287e-27	IRX5	FALSE
6.5204450251428e-32	0.328328689402169	0.701	0.469	1.31928164193714e-27	PDE7B	FALSE
1.02095350384297e-31	0.341272817375639	0.748	0.533	2.06569522432549e-27	RIN3	FALSE
1.3622096554828e-31	0.171850278727094	0.169	0.055	2.75615879593834e-27	GOLIM4	FALSE
1.78228025979561e-31	0.277456737107185	0.471	0.256	3.60608764964446e-27	BANK1	FALSE
1.82748247589862e-31	0.143994570197467	0.189	0.065	3.69754529348568e-27	GAB1	FALSE
2.67621875430246e-31	0.245925991122507	0.443	0.232	5.41479340558018e-27	TMEM241	FALSE
3.5939318352507e-31	0.267420068795364	0.468	0.255	7.27160228226275e-27	LMO4	FALSE
5.55835773295782e-31	0.218196579219064	0.223	0.087	1.12462252010936e-26	VIPR2	FALSE
5.58719738609536e-31	0.301423023207364	0.646	0.406	1.13045764712867e-26	ROBO1	FALSE
6.00766320317598e-31	0.282394236063362	0.386	0.197	1.2155304958986e-26	ZFHX3	FALSE
6.56787232174973e-31	0.168631535227076	0.189	0.066	1.32887760685962e-26	RAB3C	FALSE
2.09761574370827e-30	0.244263347876349	0.352	0.169	4.24410593424494e-26	SLC1A1	FALSE
3.32886497820589e-30	0.246963642845657	0.433	0.231	6.73529251040398e-26	SPRED2	FALSE
7.33116742970855e-30	0.28434237316683	0.66	0.43	1.48331510605293e-25	DPP10	FALSE
9.41980827997873e-30	0.253239905259988	0.439	0.237	1.9059098092881e-25	MEX3B	FALSE
1.51705873286056e-29	0.135721468907462	0.131	0.037	3.06946493419678e-25	AR	FALSE
1.73403775336046e-29	0.250356825967093	0.483	0.27	3.50847858637423e-25	CLNK	FALSE
3.59742918832478e-29	0.262693148386446	0.506	0.292	7.27867847673753e-25	NREP	FALSE
4.5263487811961e-29	0.211918613907163	0.321	0.152	9.15816148899408e-25	CABLES1	FALSE
5.14925072571803e-29	0.317630415695502	0.849	0.663	1.04184789933453e-24	PDE3B	FALSE
5.62127212206555e-29	0.195876305131703	0.253	0.108	1.13735198845752e-24	PRR5L	FALSE
