position	coverage	clip_count	SA
16569	36322	36196	15516
16465	138769	24913	3591
16467	111236	20207	3372
16449	204592	17143	3031
16450	186581	14765	9479
16480	76665	10487	4860
16299	62987	9942	7976
16478	86453	9381	4245
16460	154226	7684	3642
16379	126981	6499	27065
16285	36711	6336	9387
16286	45111	6230	8911
16358	88418	6007	12173
1	22865	6006	22760
16484	65219	4786	2124
16395	177138	4401	35109
16355	76431	4011	5497
3493	16004	4009	25
16469	90797	3492	1251
16298	50856	3394	2348
16463	143204	3370	457
16425	204142	3268	2185
16452	170706	3196	2043
59	15423	3044	307
16508	52175	2924	2918
16459	156952	2891	1671
16455	162500	2847	1267
57	18930	2714	198
16454	165484	2622	1706
16466	113790	2591	947
16400	192379	2574	26098
16461	146971	2417	786
48	23634	2346	97
16260	19671	2210	3521
16387	140946	2159	2871
16365	92963	2158	3477
16324	68381	2083	12
16328	69042	2072	1650
16500	57003	2022	1366
16492	59218	1945	641
16517	49246	1936	1847
16312	70316	1836	2706
16502	55027	1749	1696
16537	46731	1715	740
16308	67029	1616	2812
16503	53427	1602	1568
16457	159365	1573	779
16376	104351	1536	2367
56	20439	1461	90
16380	131219	1457	2288
8578	12871	1420	14
16374	99628	1400	2327
16337	72585	1373	3236
315	4262	1368	1
16554	41120	1347	661
16516	50395	1311	1067
16071	19319	1207	1482
16368	96244	1175	1656
16518	47617	1163	1483
16462	144469	1106	624
16481	66267	1105	615
16533	47156	987	518
16458	157805	964	659
16074	20801	932	1117
16375	100934	915	1355
16542	44741	900	543
16426	217617	895	5215
16489	60102	892	596
16338	73370	868	2327
16389	147610	858	2042
16446	206392	855	572
16525	47075	779	409
16382	133932	765	1760
16366	94134	764	989
16068	17425	736	912
16250	16272	731	1067
65	11289	722	116
16479	77295	714	304
16075	21619	711	869
16287	46037	686	658
16343	73354	681	2080
16447	205913	675	336
16433	224167	663	128
105	10317	658	322
16427	220236	658	403
16544	43551	653	500
16464	139667	648	337
16283	28206	637	445
16474	87239	613	273
16511	49283	613	643
16309	67759	573	1358
16388	142812	570	2547
16494	57672	563	304
16451	171136	561	530
16435	222344	537	124
58	16066	509	51
16369	96721	508	561
16188	18429	502	576
16550	42044	499	328
61	12105	496	49
39	25243	478	52
16436	214598	476	131
16528	47275	474	180
248	727	471	198
16306	64765	469	805
16371	97186	465	624
16567	37102	464	297
16495	57309	458	469
16184	16759	454	540
16313	70844	452	480
16280	27424	439	396
16333	70748	437	1318
16475	86708	433	275
35	27079	422	26
314	4631	418	1
16186	17550	416	484
2488	18329	413	1
16372	97596	409	541
10397	17198	406	0
16301	64137	403	458
151	10883	403	219
16353	71171	397	144
16423	207588	393	179
311	4620	374	10
16444	207136	373	146
16378	106149	352	2235
186	9515	348	218
16509	49435	345	408
16191	18618	341	393
16263	21005	339	450
289	5113	319	2
16488	60352	314	92
16555	39692	313	118
36	26539	311	20
8558	10919	305	11
10401	17135	303	1
16381	130750	302	975
16498	57197	299	270
16363	88673	299	582
16392	149591	298	834
16491	59340	297	167
16067	16588	296	340
16360	88369	294	404
16187	17821	291	112
16185	17101	284	334
16289	46749	277	353
16561	38464	269	107
16456	159388	268	374
174	10084	266	227
16359	88503	266	332
53	21017	265	21
16468	91012	265	191
16540	45263	264	150
15749	20604	262	225
16501	55117	258	234
16271	22514	257	182
238	7448	257	176
16072	19658	250	336
16390	148572	250	485
16268	22014	248	377
16429	223209	246	252
16069	17688	244	277
6341	15863	244	69
16364	89122	243	357
16104	20327	242	237
16560	38791	238	72
16383	134142	231	274
64	11486	229	33
16278	26820	225	141
16499	57088	225	250
16524	47076	217	261
16477	86424	216	139
16311	68003	216	240
41	24478	214	22
507	13924	214	6
16430	223779	213	131
66	10442	212	29
16471	87547	211	109
16424	203588	205	230
16470	87262	203	189
16385	133870	202	449
16347	72546	198	572
8577	11263	198	4
16483	65299	195	113
16428	222498	195	376
16192	18925	187	218
16440	208460	185	160
309	4490	182	2
3108	20638	180	1
16520	46779	179	233
16482	65265	178	114
16473	87384	178	86
16193	19060	176	217
16534	46289	176	104
147	10993	175	119
16176	16552	175	181
16403	195133	174	4152
2480	18108	173	1
38	25567	173	17
16487	60437	171	139
498	14006	168	68
16391	148111	167	275
16398	177137	165	1385
16485	60502	164	107
16394	151315	163	1904
16386	134613	160	409
5312	19988	160	2
16346	73237	159	753
966	18542	158	83
16256	16473	158	215
72	10125	158	49
