p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	-0.892420737027667	0.427	0.749	0	LMNA
0	0.802280283013081	0.954	0.88	0	BACH2
0	1.05364546257736	0.921	0.726	0	FHIT
0	0.940614248797346	0.871	0.668	0	IMMP2L
0	-0.748796771555705	0.567	0.823	0	NR4A1
0	0.786476609203528	0.685	0.38	0	GRM5
0	1.12414242221793	0.769	0.409	0	LEF1
0	1.02042004934667	0.815	0.508	0	PARD3B
0	0.743076031914837	0.876	0.712	0	CSGALNACT1
0	-0.876795947234208	0.724	0.919	0	ERCC1
0	-0.839455313840647	0.449	0.746	0	FOSB
0	0.675587469179949	0.952	0.874	0	PDE4D
0	-0.762417881768803	0.564	0.836	0	KLF6
0	0.766287730958468	0.548	0.205	0	PTPRM
0	0.952294439033797	0.839	0.504	0	TIAM1
4.41983518473415e-307	0.841167812385745	0.715	0.439	8.94265252927261e-303	MAN1C1
8.09782154883532e-307	0.770225094988695	0.603	0.263	1.63843223397585e-302	PARD3
1.2327304348663e-306	0.777919895955645	0.678	0.359	2.49418348886499e-302	GRIP1
5.6355062571604e-297	0.853316858582299	0.684	0.351	1.14023198101126e-292	PCSK5
6.78464665040592e-295	0.791889160749059	0.683	0.374	1.37273755677663e-290	CTNNA2
6.61391396404516e-294	0.731879208808623	0.865	0.68	1.33819321234526e-289	CNTNAP2
4.47098728232594e-293	0.720654935329045	0.553	0.219	9.04614856833007e-289	CCDC141
6.4256079402503e-293	0.811269275312098	0.731	0.445	1.30009325455084e-288	ST6GALNAC3
4.85487386837113e-289	-0.706364759140722	0.324	0.644	9.82286629787531e-285	FOS
2.73881800135296e-288	0.804753055185264	0.834	0.642	5.54145046213745e-284	MLLT3
2.4152833473436e-285	0.751970460360794	0.643	0.327	4.88684279668031e-281	NRXN3
2.63406309887344e-280	0.65814191276571	0.91	0.796	5.32949986795064e-276	PTPRD
2.03149442599874e-276	-0.69336459617801	0.369	0.667	4.11032267212324e-272	CSRNP1
1.18848346455847e-273	0.705201452293632	0.788	0.534	2.40465859384114e-269	CERS6
2.18230747074097e-269	0.686897817677071	0.821	0.6	4.4154627055502e-265	SLC9A9
3.39885250370733e-269	0.759155999810702	0.806	0.564	6.87689827075104e-265	PRKCA
5.30774233448964e-268	0.697139262103387	0.53	0.213	1.07391550653729e-263	NCKAP5
1.05696916763582e-267	0.678051970518965	0.581	0.269	2.13856571687755e-263	KIAA1217
1.88711216006352e-267	0.776458870307952	0.564	0.238	3.81819403345652e-263	TSHZ2
1.43096433257002e-264	-0.703236668351695	0.597	0.825	2.89527013408893e-260	HSPD1
4.42018896198868e-263	0.711715927281068	0.784	0.527	8.94336832679169e-259	MACROD2
2.85022305728291e-261	0.788352644032527	0.713	0.44	5.76685631180051e-257	PTPRN2
3.01448116016989e-261	0.713224268208836	0.858	0.667	6.09919973137174e-257	AUTS2
4.21390667026524e-261	0.888904116273061	0.727	0.474	8.52599736594766e-257	NELL2
9.12922290645445e-260	0.599039498413609	0.408	0.115	1.84711567066293e-255	LDB2
1.5047792778186e-259	0.665610603321943	0.83	0.643	3.04461991281038e-255	ABLIM1
3.05162554552643e-259	0.709188792703278	0.727	0.48	6.17435396626362e-255	NEGR1
5.94465630106468e-259	0.605314899005004	0.351	0.077	1.20278230939442e-254	EDAR
1.05616115338456e-258	0.638601105394371	0.516	0.199	2.13693086164299e-254	OPCML
2.61032453647324e-255	0.699584840238959	0.763	0.513	5.28146963464631e-251	CHRM3
7.24959689030844e-255	0.689723159281581	0.561	0.262	1.46681093881611e-250	IL1RAPL2
2.85436092188065e-254	0.518471268024669	0.956	0.908	5.77522845324112e-250	TBC1D5
2.19439690834386e-253	0.713616207376582	0.721	0.459	4.43992326465212e-249	DPP10
6.09776514251758e-249	0.595511205829215	0.425	0.127	1.23376082128558e-244	DOCK1
5.58282749599449e-247	0.591827218010111	0.422	0.136	1.12957348726456e-242	FAT3
